date,ticker,source,title,text,url,language,published_at
2026-01-05,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - Yatırım Kuruluşu Varant - Sertifika - Senetlerine İlişkin Bildirim,Yatırım Kuruluşu Varant - Sertifika - Senetlerine İlişkin Bildirim İş Yatırım Sertifika ve Varant Alım Satım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1532680,tr,2026-01-05T13:19:27+00:00
2026-01-05,KRDMD,KAP,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Satışlarımız Hk.,https://www.kap.org.tr/tr/Bildirim/1532661,tr,2026-01-05T12:10:24+00:00
2026-01-05,MGROS,KAP,MİGROS TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Aralık 2025 Mağaza Açılışları,https://www.kap.org.tr/tr/Bildirim/1533218,tr,2026-01-05T20:45:45+00:00
2026-01-05,MGROS,KAP,MİGROS TİCARET A.Ş. - Finansal Takvim,Finansal Takvim Finansal Takvim,https://www.kap.org.tr/tr/Bildirim/1533217,tr,2026-01-05T20:41:40+00:00
2026-01-05,MGROS,KAP,MİGROS TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) BDDK onayı,https://www.kap.org.tr/tr/Bildirim/1532599,tr,2026-01-05T09:48:03+00:00
2026-01-05,SAHOL,KAP,HACI ÖMER SABANCI HOLDİNG A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1533170,tr,2026-01-05T19:23:44+00:00
2026-01-05,THYAO,KAP,TÜRK HAVA YOLLARI A.O. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Thai Airways ile Ortak İş Anlaşması,https://www.kap.org.tr/tr/Bildirim/1533135,tr,2026-01-05T18:30:24+00:00
2026-01-05,TSKB,KAP,TÜRKİYE SINAİ KALKINMA BANKASI A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1532796,tr,2026-01-05T15:55:27+00:00
2026-01-05,YKBNK,KAP,YAPI VE KREDİ BANKASI A.Ş. - Finansal Takvim,Finansal Takvim 2025 Finansal Takvim,https://www.kap.org.tr/tr/Bildirim/1533071,tr,2026-01-05T18:19:43+00:00
2026-01-05,YKBNK,KAP,YAPI VE KREDİ BANKASI A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) Yurtdışında borçlanma aracı ihracının tamamlanması,https://www.kap.org.tr/tr/Bildirim/1532987,tr,2026-01-05T17:26:38+00:00
2026-01-05,ZOREN,KAP,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) TRSZORN42618 ISIN Kodlu Tahvilin 10. Kupon Dönemine İlişkin Faiz Oranı Hakkında,https://www.kap.org.tr/tr/Bildirim/1532880,tr,2026-01-05T16:37:16+00:00
2026-01-06,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Değerleme Raporu,Değerleme Raporu 2025 Yıl Sonu Değerleme Raporu: Terminal Kadıköy Söğütlüçeşme,https://www.kap.org.tr/tr/Bildirim/1533869,tr,2026-01-06T18:24:47+00:00
2026-01-06,AKFGY,KAP,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. - Değerleme Raporu,Değerleme Raporu Karaköy Novotel,https://www.kap.org.tr/tr/Bildirim/1533839,tr,2026-01-06T18:23:08+00:00
